"CAna_001.PV";"407011 L"
"CAna_063.Tune_FLTR";"415474"
"CAna_063.Tune_HYS";"415479"
"CAna_063.Tune_LVL1";"415478"
"CAna_063.Tune_LVL2";"415477"
"CAna_063.Tune_LVL3";"415476"
"CAna_063.Tune_LVL4";"415475"
"CAna_063.Tune_MANUAL";"415470"
"CAna_063.Tune_MAXDEV";"415482"
"CAna_063.Tune_TCRHL";"415472"
"CAna_063.Tune_TCRLL";"415473"
"CAna_063.Tune_UTRL";"415480"
"CAna_063.Tune_ZERO";"415471"
"CAna_064.PV";"407074"
"CAna_064.Status";"406074"
"CAna_064.Tune_CtrlWd";"415483"
"CAna_064.Tune_DTRL";"415495"
"CAna_064.Tune_FLTR";"415488"
"CAna_064.Tune_HYS";"415493"
"CAna_064.Tune_LVL1";"415492"
"CAna_064.Tune_LVL2";"415491"
"CAna_064.Tune_LVL3";"415490"
"CAna_064.Tune_LVL4";"415489"
"CAna_064.Tune_MANUAL";"415484"
"CAna_064.Tune_MAXDEV";"415496"
"CAna_064.Tune_TCRHL";"415486"
"CAna_064.Tune_TCRLL";"415487"
"CAna_064.Tune_UTRL";"415494"
"CAna_064.Tune_ZERO";"415485"
"CAna_065.PV";"407075"
"CAna_065.Status";"406075"
"CAna_065.Tune_CtrlWd";"415497"
"CAna_065.Tune_DTRL";"415509"
"CAna_065.Tune_FLTR";"415502"
"CAna_065.Tune_HYS";"415507"
"CAna_065.Tune_LVL1";"415506"
"CAna_065.Tune_LVL2";"415505"
"CAna_065.Tune_LVL3";"415504"
"CAna_065.Tune_LVL4";"415503"
"CAna_065.Tune_MANUAL";"415498"
"CAna_065.Tune_MAXDEV";"415510"
"CAna_065.Tune_TCRHL";"415500"
"CAna_065.Tune_TCRLL";"415501"
"CAna_065.Tune_UTRL";"415508"
"CAna_065.Tune_ZERO";"415499"
"CAna_066.PV";"407076"
"CAna_066.Status";"406076"
"CAna_066.Tune_CtrlWd";"415511"
"CAna_066.Tune_DTRL";"415523"
"CAna_066.Tune_FLTR";"415516"
"CAna_066.Tune_HYS";"415521"
"CAna_066.Tune_LVL1";"415520"
"CAna_066.Tune_LVL2";"415519"
"CAna_066.Tune_LVL3";"415518"
"CAna_066.Tune_LVL4";"415517"
"CAna_066.Tune_MANUAL";"415512"
"CAna_066.Tune_MAXDEV";"415524"
"CAna_066.Tune_TCRHL";"415514"
"CAna_066.Tune_TCRLL";"415515"
"CAna_066.Tune_UTRL";"415522"
"CAna_066.Tune_ZERO";"415513"
"CAna_067.PV";"407077"
"CAna_067.Status";"406077"
"CAna_067.Tune_CtrlWd";"415525"
"CAna_067.Tune_DTRL";"415537"
"CAna_067.Tune_FLTR";"415530"
"CAna_067.Tune_HYS";"415535"
"CAna_067.Tune_LVL1";"415534"
"CAna_067.Tune_LVL2";"415533"
"CAna_067.Tune_LVL3";"415532"
"CAna_067.Tune_LVL4";"415531"
"CAna_067.Tune_MANUAL";"415526"
"CAna_067.Tune_MAXDEV";"415538"
"CAna_067.Tune_TCRHL";"415528"
"CAna_067.Tune_TCRLL";"415529"
"CAna_067.Tune_UTRL";"415536"
"CAna_067.Tune_ZERO";"415527"
"CAna_068.PV";"407078"
"CAna_068.Status";"406078"
"CAna_068.Tune_CtrlWd";"415539"
"CAna_068.Tune_DTRL";"415551"
"CAna_068.Tune_FLTR";"415544"
"CAna_068.Tune_HYS";"415549"
"CAna_068.Tune_LVL1";"415548"
"CAna_068.Tune_LVL2";"415547"
"CAna_068.Tune_LVL3";"415546"
"CAna_068.Tune_LVL4";"415545"
"CAna_068.Tune_MANUAL";"415540"
"CAna_068.Tune_MAXDEV";"415552"
"CAna_068.Tune_TCRHL";"415542"
"CAna_068.Tune_TCRLL";"415543"
"CAna_068.Tune_UTRL";"415550"
"CAna_068.Tune_ZERO";"415541"
"CAna_069.PV";"407079"
"CAna_069.Status";"406079"
"CAna_069.Tune_CtrlWd";"415553"
"CAna_069.Tune_DTRL";"415565"
"CAna_069.Tune_FLTR";"415558"
"CAna_069.Tune_HYS";"415563"
"CAna_069.Tune_LVL1";"415562"
"CAna_069.Tune_LVL2";"415561"
"CAna_069.Tune_LVL3";"415560"
"CAna_069.Tune_LVL4";"415559"
"CAna_069.Tune_MANUAL";"415554"
"CAna_069.Tune_MAXDEV";"415566"
"CAna_069.Tune_TCRHL";"415556"
"CAna_069.Tune_TCRLL";"415557"
"CAna_069.Tune_UTRL";"415564"
"CAna_069.Tune_ZERO";"415555"
"CAna_070.PV";"407080"
"CAna_070.Status";"406080"
"CAna_070.Tune_CtrlWd";"415567"
"CAna_070.Tune_DTRL";"415579"
"CAna_070.Tune_FLTR";"415572"
"CAna_070.Tune_HYS";"415577"
"CAna_070.Tune_LVL1";"415576"
"CAna_070.Tune_LVL2";"415575"
"CAna_070.Tune_LVL3";"415574"
"CAna_070.Tune_LVL4";"415573"
"CAna_070.Tune_MANUAL";"415568"
"CAna_070.Tune_MAXDEV";"415580"
"CAna_070.Tune_TCRHL";"415570"
"CAna_070.Tune_TCRLL";"415571"
"CAna_070.Tune_UTRL";"415578"
"CAna_070.Tune_ZERO";"415569"
"CAna_071.PV";"407081"
"CAna_071.Status";"406081"
"CAna_071.Tune_CtrlWd";"415581"
"CAna_071.Tune_DTRL";"415593"
"CAna_071.Tune_FLTR";"415586"
"CAna_071.Tune_HYS";"415591"
"CAna_071.Tune_LVL1";"415590"
"CAna_071.Tune_LVL2";"415589"
"CAna_071.Tune_LVL3";"415588"
"CAna_071.Tune_LVL4";"415587"
"CAna_071.Tune_MANUAL";"415582"
"CAna_071.Tune_MAXDEV";"415594"
"CAna_071.Tune_TCRHL";"415584"
"CAna_071.Tune_TCRLL";"415585"
"CAna_071.Tune_UTRL";"415592"
"CAna_071.Tune_ZERO";"415583"
"CAna_072.PV";"407082"
"CAna_072.Status";"406082"
"CAna_072.Tune_CtrlWd";"415595"
"CAna_072.Tune_DTRL";"415607"
"CAna_072.Tune_FLTR";"415600"
"CAna_072.Tune_HYS";"415605"
"CAna_072.Tune_LVL1";"415604"
"CAna_072.Tune_LVL2";"415603"
"CAna_072.Tune_LVL3";"415602"
"CAna_072.Tune_LVL4";"415601"
"CAna_072.Tune_MANUAL";"415596"
"CAna_072.Tune_MAXDEV";"415608"
"CAna_072.Tune_TCRHL";"415598"
"CAna_072.Tune_TCRLL";"415599"
"CAna_072.Tune_UTRL";"415606"
"CAna_072.Tune_ZERO";"415597"
"CAna_073.PV";"407083"
"CAna_073.Status";"406083"
"CAna_073.Tune_CtrlWd";"415609"
"CAna_073.Tune_DTRL";"415621"
"CAna_073.Tune_FLTR";"415614"
"CAna_073.Tune_HYS";"415619"
"CAna_073.Tune_LVL1";"415618"
"CAna_073.Tune_LVL2";"415617"
"CAna_073.Tune_LVL3";"415616"
"CAna_073.Tune_LVL4";"415615"
"CAna_073.Tune_MANUAL";"415610"
"CAna_073.Tune_MAXDEV";"415622"
"CAna_073.Tune_TCRHL";"415612"
"CAna_073.Tune_TCRLL";"415613"
"CAna_073.Tune_UTRL";"415620"
"CAna_073.Tune_ZERO";"415611"
"CAna_074.PV";"407084"
"CAna_074.Status";"406084"
"CAna_074.Tune_CtrlWd";"415623"
"CAna_074.Tune_DTRL";"415635"
"CAna_074.Tune_FLTR";"415628"
"CAna_074.Tune_HYS";"415633"
"CAna_074.Tune_LVL1";"415632"
"CAna_074.Tune_LVL2";"415631"
"CAna_074.Tune_LVL3";"415630"
"CAna_074.Tune_LVL4";"415629"
"CAna_074.Tune_MANUAL";"415624"
"CAna_074.Tune_MAXDEV";"415636"
"CAna_074.Tune_TCRHL";"415626"
"CAna_074.Tune_TCRLL";"415627"
"CAna_074.Tune_UTRL";"415634"
"CAna_074.Tune_ZERO";"415625"
"CAna_075.PV";"407085"
"CAna_075.Status";"406085"
"CAna_075.Tune_CtrlWd";"415637"
"CAna_075.Tune_DTRL";"415649"
"CAna_075.Tune_FLTR";"415642"
"CAna_075.Tune_HYS";"415647"
"CAna_075.Tune_LVL1";"415646"
"CAna_075.Tune_LVL2";"415645"
"CAna_075.Tune_LVL3";"415644"
"CAna_075.Tune_LVL4";"415643"
"CAna_075.Tune_MANUAL";"415638"
"CAna_075.Tune_MAXDEV";"415650"
"CAna_075.Tune_TCRHL";"415640"
"CAna_075.Tune_TCRLL";"415641"
"CAna_075.Tune_UTRL";"415648"
"CAna_075.Tune_ZERO";"415639"
"CAna_076.PV";"407086"
"CAna_076.Status";"406086"
"CAna_076.Tune_CtrlWd";"415651"
"CAna_076.Tune_DTRL";"415663"
"CAna_076.Tune_FLTR";"415656"
"CAna_076.Tune_HYS";"415661"
"CAna_076.Tune_LVL1";"415660"
"CAna_076.Tune_LVL2";"415659"
"CAna_076.Tune_LVL3";"415658"
"CAna_076.Tune_LVL4";"415657"
"CAna_076.Tune_MANUAL";"415652"
"CAna_076.Tune_MAXDEV";"415664"
"CAna_076.Tune_TCRHL";"415654"
"CAna_076.Tune_TCRLL";"415655"
"CAna_076.Tune_UTRL";"415662"
"CAna_076.Tune_ZERO";"415653"
"CAna_077.PV";"407087"
"CAna_077.Status";"406087"
"CAna_077.Tune_CtrlWd";"415665"
"CAna_077.Tune_DTRL";"415677"
"CAna_077.Tune_FLTR";"415670"
"CAna_077.Tune_HYS";"415675"
"CAna_077.Tune_LVL1";"415674"
"CAna_077.Tune_LVL2";"415673"
"CAna_077.Tune_LVL3";"415672"
"CAna_077.Tune_LVL4";"415671"
"CAna_077.Tune_MANUAL";"415666"
"CAna_077.Tune_MAXDEV";"415678"
"CAna_077.Tune_TCRHL";"415668"
"CAna_077.Tune_TCRLL";"415669"
"CAna_077.Tune_UTRL";"415676"
"CAna_077.Tune_ZERO";"415667"
"CAna_078.PV";"407088"
"CAna_078.Status";"406088"
"CAna_078.Tune_CtrlWd";"415679"
"CAna_078.Tune_DTRL";"415691"
"CAna_078.Tune_FLTR";"415684"
"CAna_078.Tune_HYS";"415689"
"CAna_078.Tune_LVL1";"415688"
"CAna_078.Tune_LVL2";"415687"
"CAna_078.Tune_LVL3";"415686"
"CAna_078.Tune_LVL4";"415685"
"CAna_078.Tune_MANUAL";"415680"
"CAna_078.Tune_MAXDEV";"415692"
"CAna_078.Tune_TCRHL";"415682"
"CAna_078.Tune_TCRLL";"415683"
"CAna_078.Tune_UTRL";"415690"
"CAna_078.Tune_ZERO";"415681"
"CAna_079.PV";"407089"
"CAna_079.Status";"406089"
"CAna_079.Tune_CtrlWd";"415693"
"CAna_079.Tune_DTRL";"415705"
"CAna_079.Tune_FLTR";"415698"
"CAna_079.Tune_HYS";"415703"
"CAna_079.Tune_LVL1";"415702"
"CAna_079.Tune_LVL2";"415701"
"CAna_079.Tune_LVL3";"415700"
"CAna_079.Tune_LVL4";"415699"
"CAna_079.Tune_MANUAL";"415694"
"CAna_079.Tune_MAXDEV";"415706"
"CAna_079.Tune_TCRHL";"415696"
"CAna_079.Tune_TCRLL";"415697"
"CAna_079.Tune_UTRL";"415704"
"CAna_079.Tune_ZERO";"415695"
"CAna_080.PV";"407090"
"CAna_080.Status";"406090"
"CAna_080.Tune_CtrlWd";"415707"
"CAna_080.Tune_DTRL";"415719"
"CAna_080.Tune_FLTR";"415712"
"CAna_080.Tune_HYS";"415717"
"CAna_080.Tune_LVL1";"415716"
"CAna_080.Tune_LVL2";"415715"
"CAna_080.Tune_LVL3";"415714"
"CAna_080.Tune_LVL4";"415713"
"CAna_080.Tune_MANUAL";"415708"
"CAna_080.Tune_MAXDEV";"415720"
"CAna_080.Tune_TCRHL";"415710"
"CAna_080.Tune_TCRLL";"415711"
"CAna_080.Tune_UTRL";"415718"
"CAna_080.Tune_ZERO";"415709"
"CAna_081.PV";"407091"
"CAna_081.Status";"406091"
"CAna_081.Tune_CtrlWd";"415721"
"CAna_081.Tune_DTRL";"415733"
"CAna_081.Tune_FLTR";"415726"
"CAna_081.Tune_HYS";"415731"
"CAna_081.Tune_LVL1";"415730"
"CAna_081.Tune_LVL2";"415729"
"CAna_081.Tune_LVL3";"415728"
"CAna_081.Tune_LVL4";"415727"
"CAna_081.Tune_MANUAL";"415722"
"CAna_081.Tune_MAXDEV";"415734"
"CAna_081.Tune_TCRHL";"415724"
"CAna_081.Tune_TCRLL";"415725"
"CAna_081.Tune_UTRL";"415732"
"CAna_081.Tune_ZERO";"415723"
"CAna_107.PV";"407117"
"CAna_107.Status";"406106"
"CAna_107.Tune_CtrlWd";"416085"
"CAna_107.Tune_DTRL";"416097"
"CAna_107.Tune_FLTR";"416090"
"CAna_107.Tune_HYS";"416095"
"CAna_107.Tune_LVL1";"416094"
"CAna_107.Tune_LVL2";"416093"
"CAna_107.Tune_LVL3";"416092"
"CAna_107.Tune_LVL4";"416091"
"CAna_107.Tune_MANUAL";"416086"
"CAna_107.Tune_MAXDEV";"416098"
"CAna_107.Tune_TCRHL";"416088"
"CAna_107.Tune_TCRLL";"416089"
"CAna_107.Tune_UTRL";"416096"
"CAna_107.Tune_ZERO";"416087"
